identifiantStation;nomStation;codeLigne;sensLigne;heureEstimeeDepart;dateModification;cleModification;cleTri
TRANSPOLE:StopPointRef:BP:100:LOC;AV. DES SPORTS;L4;CTRE COMMERCIAL;2021-03-05T23:23:24+01:00;2021-03-05T23:21:44+01:00;TRANSPOLE:ItemId::454468:LOC;CTRE COMMERCIAL/AV. DES SPORTS/2021-03-05T23:23:24.000+01:00
TRANSPOLE:StopPointRef:BP:7571:LOC;CARNOT;L4;CTRE COMMERCIAL;2021-03-05T23:16:23+01:00;2021-03-05T23:03:14+01:00;TRANSPOLE:ItemId::454464:LOC;CTRE COMMERCIAL/CARNOT/2021-03-05T23:16:23.000+01:00
TRANSPOLE:StopPointRef:BP:2200:LOC;CAVLE;L1;CTRE COMMERCIAL;2021-03-06T00:12:15+01:00;2021-03-05T22:59:14+01:00;TRANSPOLE:ItemId::439412:LOC;CTRE COMMERCIAL/CAVLE/2021-03-06T00:12:15.000+01:00
TRANSPOLE:StopPointRef:BP:4590:LOC;CHAMP DE MARS;L1;CTRE COMMERCIAL;2021-03-05T23:27:28+01:00;2021-03-05T23:16:29+01:00;TRANSPOLE:ItemId::440609:LOC;CTRE COMMERCIAL/CHAMP DE MARS/2021-03-05T23:27:28.000+01:00
TRANSPOLE:StopPointRef:BP:4590:LOC;CHAMP DE MARS;L1;CTRE COMMERCIAL;2021-03-05T23:56:25+01:00;2021-03-05T23:43:44+01:00;TRANSPOLE:ItemId::441309:LOC;CTRE COMMERCIAL/CHAMP DE MARS/2021-03-05T23:56:25.000+01:00
TRANSPOLE:StopPointRef:BP:4590:LOC;CHAMP DE MARS;L1;CTRE COMMERCIAL;2021-03-06T00:31:01+01:00;2021-03-05T23:53:44+01:00;TRANSPOLE:ItemId::439427:LOC;CTRE COMMERCIAL/CHAMP DE MARS/2021-03-06T00:31:01.000+01:00
TRANSPOLE:StopPointRef:BP:5434:LOC;CHATEAU;L1;CTRE COMMERCIAL;2021-03-05T23:37:00+01:00;2021-03-05T23:26:14+01:00;TRANSPOLE:ItemId::441295:LOC;CTRE COMMERCIAL/CHATEAU/2021-03-05T23:37:00.000+01:00
TRANSPOLE:StopPointRef:BP:2698:LOC;COLPIN;L1;CTRE COMMERCIAL;2021-03-05T23:24:23+01:00;2021-03-05T23:19:14+01:00;TRANSPOLE:ItemId::440608:LOC;CTRE COMMERCIAL/COLPIN/2021-03-05T23:24:23.000+01:00
TRANSPOLE:StopPointRef:BP:2698:LOC;COLPIN;L1;CTRE COMMERCIAL;2021-03-05T23:53:10+01:00;2021-03-05T23:48:59+01:00;TRANSPOLE:ItemId::441308:LOC;CTRE COMMERCIAL/COLPIN/2021-03-05T23:53:10.000+01:00
TRANSPOLE:StopPointRef:BP:2698:LOC;COLPIN;L1;CTRE COMMERCIAL;2021-03-06T00:29:00+01:00;2021-03-05T23:21:44+01:00;TRANSPOLE:ItemId::439426:LOC;CTRE COMMERCIAL/COLPIN/2021-03-06T00:29:00.000+01:00
TRANSPOLE:StopPointRef:BP:4004:LOC;COLUCHE;L1;CTRE COMMERCIAL;2021-03-05T23:22:42+01:00;2021-03-05T23:12:14+01:00;TRANSPOLE:ItemId::435623:LOC;CTRE COMMERCIAL/COLUCHE/2021-03-05T23:22:42.000+01:00
