idhor;iddesserte;arriveetheorique;departtheorique;arrivee;depart;fiable;ts_maj;mnemoligne;nomligne;dest;codeparcours;ordre;mnemoarret;nomarret;numarret;coordonnees
268482774;269131268;2021-03-08T10:03:38+01:00;2021-03-08T10:03:38+01:00;2021-03-08T10:03:55+01:00;2021-03-08T10:03:55+01:00;F;2021-03-08T10:05:20+01:00;10;ST LEZIN SORGES <> SCHWEITZER;TRELAZE SAINT LEZIN;SCHWEITZER > ST LEZIN 9.0;770;VOLTAIR;VOLTAIRE;10823;47.484835,-0.53136876
268487378;269163813;2021-03-08T10:00:00+01:00;2021-03-08T10:00:00+01:00;2021-03-08T10:03:56+01:00;2021-03-08T10:04:01+01:00;F;2021-03-08T10:05:20+01:00;11;LAC MAINE <> STE GEMMES CL ANJOU;L'HOIRIE LAC DE MAINE;CLINIQUE > L'HOIRIE 9.0;12740;SEURAT-E;C.C. MOLLIERE;30002;47.460735,-0.61748326
268444197;268575000;2021-03-08T10:03:00+01:00;2021-03-08T10:03:00+01:00;2021-03-08T10:03:46+01:00;2021-03-08T10:03:50+01:00;F;2021-03-08T10:05:01+01:00;02;ST SYLVAIN BANCHAIS <>TRELAZE;ST SYLVAIN GAUGUIN;TRELAZE > ST SYLVAIN 9.0;8288;DELACROI;DELACROIX;5132;47.454884,-0.52868142
268455192;268738585;2021-03-08T10:01:47+01:00;2021-03-08T10:01:47+01:00;2021-03-08T10:03:38+01:00;2021-03-08T10:03:50+01:00;F;2021-03-08T10:05:01+01:00;04;BEAUCOUZE <> ST BARTHELEMY;BEAUCOUZE  HAUTE ROCHE;ST BARTH > BEAUCOUZE 9.0;8115;MAIL-NAE;MAIL;15219;47.47118,-0.54625785
268474978;268938264;2021-03-08T10:02:15+01:00;2021-03-08T10:02:15+01:00;2021-03-08T10:03:28+01:00;2021-03-08T10:03:35+01:00;F;2021-03-08T10:05:01+01:00;07;HOPITAL <> MONTREUIL JUIGNE;LORRAINE;ALLEMAGNE > LORRAINE D.1;10625;LE PRE;LE PRE;776914;47.515167,-0.58511072
268480639;269034260;2021-03-08T10:04:00+01:00;2021-03-08T10:04:00+01:00;2021-03-08T10:03:41+01:00;2021-03-08T10:03:48+01:00;F;2021-03-08T10:05:01+01:00;09;ESPACE ANJOU <> EVENTARD;EVENTARD par MONPLAISIR;ESPACE ANJOU > EVENTARD 9.0;6546;CARCIT-E;CARREFOUR ST SERGE;8361;47.48762,-0.54317765
268490576;269232908;2021-03-08T10:01:50+01:00;2021-03-08T10:01:50+01:00;2021-03-08T10:03:25+01:00;2021-03-08T10:03:39+01:00;F;2021-03-08T10:05:01+01:00;12;M-MARCILLE <> ST AUBIN LA SALLE;SAINT AUBIN LA SALLE;M.MARCILLE > ST AUBIN 9.0;5268;CORMIER;CORMIER;24903;47.458312,-0.51595269
268443510;268609031;2021-03-08T10:02:00+01:00;2021-03-08T10:02:00+01:00;2021-03-08T10:02:51+01:00;2021-03-08T10:02:51+01:00;F;2021-03-08T10:04:02+01:00;02;ST SYLVAIN BANCHAIS <>TRELAZE;TRELAZE QUANTINIERE;ST SYLVAIN > TRELAZE 9.0;2116;MASTSY;MAIRIE SAINT SYLVAIN;460558;47.519801,-0.47113822
268454364;268644615;2021-03-08T10:03:25+01:00;2021-03-08T10:03:25+01:00;2021-03-08T10:02:40+01:00;2021-03-08T10:02:41+01:00;F;2021-03-08T10:04:02+01:00;03;MURS ERIGNE <> ADEZIERE SALETTE;AVRILLE ADEZIERE;MURS > ADEZIERE 9.0;2456;ERIGNE;ERIGNE;30529;47.400805,-0.53053519
268455191;268738584;2021-03-08T09:59:47+01:00;2021-03-08T09:59:47+01:00;2021-03-08T10:02:36+01:00;2021-03-08T10:02:38+01:00;F;2021-03-08T10:04:02+01:00;04;BEAUCOUZE <> ST BARTHELEMY;BEAUCOUZE  HAUTE ROCHE;ST BARTH > BEAUCOUZE 9.0;7716;CLEMOINE;C. LEMOINE;54191;47.471969,-0.54202602
268459373;268739080;2021-03-08T10:00:02+01:00;2021-03-08T10:00:02+01:00;2021-03-08T10:02:27+01:00;2021-03-08T10:02:47+01:00;F;2021-03-08T10:04:02+01:00;04;BEAUCOUZE <> ST BARTHELEMY;BEAUCOUZE L'ATOLL;ST BARTH > L'ATOLL 9.0;2354;MORLIERE;MORLIERE;17581;47.461607,-0.4824577
268463328;268775444;2021-03-08T10:04:01+01:00;2021-03-08T10:04:01+01:00;2021-03-08T10:02:42+01:00;2021-03-08T10:02:48+01:00;F;2021-03-08T10:04:02+01:00;05;CIRCULAIRE VERNEAU GARE EUROPE;CIRCULAIRE SENS A;5A CIRCULAIRE 9.0;7987;DELACROI;DELACROIX;5132;47.454884,-0.52868142
268466441;268804629;2021-03-08T09:59:21+01:00;2021-03-08T09:59:21+01:00;2021-03-08T10:02:43+01:00;2021-03-08T10:02:50+01:00;F;2021-03-08T10:04:02+01:00;05;CIRCULAIRE VERNEAU GARE EUROPE;CIRCULAIRE SENS B;5B CIRCULAIRE 1.1;5713;GENIE -E;GENIE;16931;47.458149,-0.56382769
268474356;268938284;2021-03-08T09:58:00+01:00;2021-03-08T09:58:00+01:00;2021-03-08T10:02:14+01:00;2021-03-08T10:02:33+01:00;F;2021-03-08T10:04:02+01:00;07;HOPITAL <> MONTREUIL JUIGNE;LORRAINE;ALLEMAGNE > LORRAINE D.1;17076;ROCHEFOU;LA ROCHEFOUCAULD;6793;47.478896,-0.55701818
268479437;269070852;2021-03-08T10:02:00+01:00;2021-03-08T10:02:00+01:00;2021-03-08T10:02:40+01:00;2021-03-08T10:02:40+01:00;F;2021-03-08T10:04:02+01:00;09;ESPACE ANJOU <> EVENTARD;ESPACE ANJOU;EVENTARD > ESPACE ANJOU 9.0;792;BOISABBE;BOIS L'ABBE;1559;47.490299,-0.51418737
268501249;269455367;2021-03-08T10:02:40+01:00;2021-03-08T10:02:40+01:00;2021-03-08T10:02:47+01:00;2021-03-08T10:02:49+01:00;F;2021-03-08T10:04:02+01:00;A;ARDENNE <> ROSERAIE;ANGERS ROSERAIE;ARD Voie 1 -> ARO Voie 2 par HDV;2762;1BOTA;TERRA BOTANICA;24128;47.494146,-0.57488622
268438026;268543509;2021-03-08T10:02:00+01:00;2021-03-08T10:02:00+01:00;2021-03-08T10:02:55+01:00;2021-03-08T10:03:14+01:00;F;2021-03-08T10:04:41+01:00;01;BELLE BEILLE <> MONPLAISIR;BELLE BEILLE;MONPLAISIR > BELLE-BEILLE 9.0;5720;SAICROIX;SAINTE CROIX;18938;47.469963,-0.55428944
268442893;268609072;2021-03-08T10:02:14+01:00;2021-03-08T10:02:14+01:00;2021-03-08T10:03:32+01:00;2021-03-08T10:03:32+01:00;F;2021-03-08T10:04:41+01:00;02;ST SYLVAIN BANCHAIS <>TRELAZE;TRELAZE QUANTINIERE;ST SYLVAIN > TRELAZE 9.0;17924;LEFEVR-E;LEFEVRE;16289;47.443092,-0.48914675
268470784;268831497;2021-03-08T10:03:46+01:00;2021-03-08T10:03:46+01:00;2021-03-08T10:03:14+01:00;2021-03-08T10:03:22+01:00;F;2021-03-08T10:04:41+01:00;06;BOUCHEMAINE <> Z I  EST;ZI EST;BOUCHEMAINE>HAR>ZI EST 1.1;3075;P-ANJO-E;PETIT ANJOU;32708;47.444507,-0.61463304
268478792;269034245;2021-03-08T10:03:00+01:00;2021-03-08T10:03:00+01:00;2021-03-08T10:03:11+01:00;2021-03-08T10:03:11+01:00;F;2021-03-08T10:04:41+01:00;09;ESPACE ANJOU <> EVENTARD;EVENTARD par MONPLAISIR;ESPACE ANJOU > EVENTARD 9.0;1365;JEBOUIN;JEAN BOUIN;43885;47.458837,-0.53295521
268451728;268644658;2021-03-08T10:10:33+01:00;2021-03-08T10:10:33+01:00;2021-03-08T10:10:30+01:00;2021-03-08T10:10:30+01:00;F;2021-03-08T10:04:22+01:00;03;MURS ERIGNE <> ADEZIERE SALETTE;AVRILLE ADEZIERE;MURS > ADEZIERE 9.0;17295;BEURRI-E;BEURRIERE;23326;47.497348,-0.58927265
