Ligne (ID);Ligne (nom court);Code du sens;Destination;Point d'arrêt (ID);Point d'arrêt (nom);Coordonnées;Arrivée;Départ;Précision
1001;a;0;La Poterie;5009;Jacques Cartier;48.097566,-1.675508;2021-03-08T22:55:07+01:00;2021-03-08T22:55:17+01:00;Applicable
1001;a;0;La Poterie;5009;Jacques Cartier;48.097566,-1.675508;2021-03-08T22:23:37+01:00;2021-03-08T22:23:47+01:00;Applicable
1001;a;0;La Poterie;5010;Clemenceau;48.093565,-1.674477;2021-03-08T22:11:06+01:00;2021-03-08T22:11:16+01:00;Applicable
1001;a;0;La Poterie;5009;Jacques Cartier;48.097566,-1.675508;2021-03-08T22:59:37+01:00;2021-03-08T22:59:47+01:00;Applicable
1001;a;0;La Poterie;5009;Jacques Cartier;48.097566,-1.675508;2021-03-08T22:37:07+01:00;2021-03-08T22:37:17+01:00;Applicable
1001;a;0;La Poterie;5010;Clemenceau;48.093565,-1.674477;2021-03-08T22:24:36+01:00;2021-03-08T22:24:46+01:00;Applicable
1001;a;0;La Poterie;5009;Jacques Cartier;48.097566,-1.675508;2021-03-08T23:17:37+01:00;2021-03-08T23:17:47+01:00;Applicable
1001;a;0;La Poterie;5009;Jacques Cartier;48.097566,-1.675508;2021-03-08T22:46:07+01:00;2021-03-08T22:46:17+01:00;Applicable
1001;a;0;La Poterie;5010;Clemenceau;48.093565,-1.674477;2021-03-08T22:42:36+01:00;2021-03-08T22:42:46+01:00;Applicable
1001;a;0;La Poterie;5010;Clemenceau;48.093565,-1.674477;2021-03-08T20:36:24+01:00;2021-03-08T20:36:36+01:00;Temps réel
1001;a;0;La Poterie;5009;Jacques Cartier;48.097566,-1.675508;2021-03-08T23:04:07+01:00;2021-03-08T23:04:17+01:00;Applicable
1001;a;0;La Poterie;5010;Clemenceau;48.093565,-1.674477;2021-03-08T22:51:36+01:00;2021-03-08T22:51:46+01:00;Applicable
1001;a;0;La Poterie;5010;Clemenceau;48.093565,-1.674477;2021-03-08T20:40:54+01:00;2021-03-08T20:41:06+01:00;Applicable
1001;a;0;La Poterie;5009;Jacques Cartier;48.097566,-1.675508;2021-03-08T23:08:37+01:00;2021-03-08T23:08:47+01:00;Applicable
1001;a;0;La Poterie;5010;Clemenceau;48.093565,-1.674477;2021-03-08T23:09:36+01:00;2021-03-08T23:09:46+01:00;Applicable
1001;a;0;La Poterie;5010;Clemenceau;48.093565,-1.674477;2021-03-08T20:45:25+01:00;2021-03-08T20:45:37+01:00;Applicable
1001;a;0;La Poterie;5009;Jacques Cartier;48.097566,-1.675508;2021-03-08T23:22:07+01:00;2021-03-08T23:22:17+01:00;Applicable
1001;a;0;La Poterie;5010;Clemenceau;48.093565,-1.674477;2021-03-08T23:27:36+01:00;2021-03-08T23:27:46+01:00;Applicable
1001;a;0;La Poterie;5010;Clemenceau;48.093565,-1.674477;2021-03-08T20:54:25+01:00;2021-03-08T20:54:37+01:00;Applicable
1001;a;0;La Poterie;5009;Jacques Cartier;48.097566,-1.675508;2021-03-08T23:26:37+01:00;2021-03-08T23:26:47+01:00;Applicable
1001;a;0;La Poterie;5010;Clemenceau;48.093565,-1.674477;2021-03-08T23:32:06+01:00;2021-03-08T23:32:16+01:00;Applicable
1001;a;0;La Poterie;5010;Clemenceau;48.093565,-1.674477;2021-03-08T21:21:25+01:00;2021-03-08T21:21:35+01:00;Applicable
1001;a;0;La Poterie;5010;Clemenceau;48.093565,-1.674477;2021-03-08T20:49:55+01:00;2021-03-08T20:50:07+01:00;Applicable
1001;a;0;La Poterie;5011;Henri Fréville;48.087577,-1.674859;2021-03-08T20:33:08+01:00;2021-03-08T20:33:20+01:00;Temps réel
1001;a;0;La Poterie;5010;Clemenceau;48.093565,-1.674477;2021-03-08T21:30:36+01:00;2021-03-08T21:30:46+01:00;Applicable
1001;a;0;La Poterie;5010;Clemenceau;48.093565,-1.674477;2021-03-08T20:58:55+01:00;2021-03-08T20:59:07+01:00;Applicable
1001;a;0;La Poterie;5011;Henri Fréville;48.087577,-1.674859;2021-03-08T20:42:09+01:00;2021-03-08T20:42:21+01:00;Applicable
1001;a;0;La Poterie;5010;Clemenceau;48.093565,-1.674477;2021-03-08T21:48:36+01:00;2021-03-08T21:48:46+01:00;Applicable
1001;a;0;La Poterie;5010;Clemenceau;48.093565,-1.674477;2021-03-08T21:03:25+01:00;2021-03-08T21:03:35+01:00;Applicable
1001;a;0;La Poterie;5011;Henri Fréville;48.087577,-1.674859;2021-03-08T20:46:40+01:00;2021-03-08T20:46:52+01:00;Applicable
1001;a;0;La Poterie;5010;Clemenceau;48.093565,-1.674477;2021-03-08T21:57:36+01:00;2021-03-08T21:57:46+01:00;Applicable
1001;a;0;La Poterie;5010;Clemenceau;48.093565,-1.674477;2021-03-08T21:16:55+01:00;2021-03-08T21:17:05+01:00;Applicable
1001;a;0;La Poterie;5011;Henri Fréville;48.087577,-1.674859;2021-03-08T21:00:10+01:00;2021-03-08T21:00:20+01:00;Applicable
1001;a;0;La Poterie;5010;Clemenceau;48.093565,-1.674477;2021-03-08T22:02:06+01:00;2021-03-08T22:02:16+01:00;Applicable
1001;a;0;La Poterie;5010;Clemenceau;48.093565,-1.674477;2021-03-08T21:25:55+01:00;2021-03-08T21:26:05+01:00;Applicable
1001;a;0;La Poterie;5011;Henri Fréville;48.087577,-1.674859;2021-03-08T21:09:10+01:00;2021-03-08T21:09:20+01:00;Applicable
1001;a;0;La Poterie;5010;Clemenceau;48.093565,-1.674477;2021-03-08T22:15:36+01:00;2021-03-08T22:15:46+01:00;Applicable
1001;a;0;La Poterie;5010;Clemenceau;48.093565,-1.674477;2021-03-08T21:44:06+01:00;2021-03-08T21:44:16+01:00;Applicable
1001;a;0;La Poterie;5011;Henri Fréville;48.087577,-1.674859;2021-03-08T21:13:40+01:00;2021-03-08T21:13:50+01:00;Applicable
