identifiantStation;nomStation;codeLigne;sensLigne;heureEstimeeDepart;dateModification;cleModification;cleTri
TRANSPOLE:StopPointRef:BP:667:LOC;FIN DE LA GUERRE;L4;CTRE COMMERCIAL;2021-03-08T18:58:29+01:00;2021-03-08T18:45:39+01:00;TRANSPOLE:ItemId::857239:LOC;CTRE COMMERCIAL/FIN DE LA GUERRE/2021-03-08T18:58:29.000+01:00
TRANSPOLE:StopPointRef:BP:667:LOC;FIN DE LA GUERRE;L4;CTRE COMMERCIAL;2021-03-08T19:10:27+01:00;2021-03-08T19:05:23+01:00;TRANSPOLE:ItemId::860000:LOC;CTRE COMMERCIAL/FIN DE LA GUERRE/2021-03-08T19:10:27.000+01:00
TRANSPOLE:StopPointRef:BP:667:LOC;FIN DE LA GUERRE;L4;CTRE COMMERCIAL;2021-03-08T19:27:16+01:00;2021-03-08T19:19:23+01:00;TRANSPOLE:ItemId::854689:LOC;CTRE COMMERCIAL/FIN DE LA GUERRE/2021-03-08T19:27:16.000+01:00
TRANSPOLE:StopPointRef:BP:4947:LOC;FLORENCE;CITT;CTRE COMMERCIAL;2021-03-08T19:07:38+01:00;2021-03-08T18:53:08+01:00;TRANSPOLE:ItemId::818369:LOC;CTRE COMMERCIAL/FLORENCE/2021-03-08T19:07:38.000+01:00
TRANSPOLE:StopPointRef:BP:4128:LOC;FLORENCE;CO3;CTRE COMMERCIAL;2021-03-08T19:11:26+01:00;2021-03-08T17:50:53+01:00;TRANSPOLE:ItemId::829978:LOC;CTRE COMMERCIAL/FLORENCE/2021-03-08T19:11:26.000+01:00
TRANSPOLE:StopPointRef:BP:4947:LOC;FLORENCE;CITT;CTRE COMMERCIAL;2021-03-08T19:32:25+01:00;2021-03-08T19:11:23+01:00;TRANSPOLE:ItemId::820466:LOC;CTRE COMMERCIAL/FLORENCE/2021-03-08T19:32:25.000+01:00
TRANSPOLE:StopPointRef:BP:4128:LOC;FLORENCE;CO3;CTRE COMMERCIAL;2021-03-08T19:42:59+01:00;2021-03-08T18:22:23+01:00;TRANSPOLE:ItemId::831676:LOC;CTRE COMMERCIAL/FLORENCE/2021-03-08T19:42:59.000+01:00
TRANSPOLE:StopPointRef:BP:4947:LOC;FLORENCE;CITT;CTRE COMMERCIAL;2021-03-08T19:47:18+01:00;2021-03-08T19:41:22+01:00;TRANSPOLE:ItemId::819408:LOC;CTRE COMMERCIAL/FLORENCE/2021-03-08T19:47:18.000+01:00
TRANSPOLE:StopPointRef:BP:4128:LOC;FLORENCE;CO3;CTRE COMMERCIAL;2021-03-08T20:10:32+01:00;2021-03-08T18:50:46+01:00;TRANSPOLE:ItemId::830561:LOC;CTRE COMMERCIAL/FLORENCE/2021-03-08T20:10:32.000+01:00
TRANSPOLE:StopPointRef:BP:596:LOC;FOCH;L1;CTRE COMMERCIAL;2021-03-08T19:03:32+01:00;2021-03-08T18:50:53+01:00;TRANSPOLE:ItemId::832287:LOC;CTRE COMMERCIAL/FOCH/2021-03-08T19:03:32.000+01:00
TRANSPOLE:StopPointRef:BP:596:LOC;FOCH;L1;CTRE COMMERCIAL;2021-03-08T19:14:38+01:00;2021-03-08T19:07:53+01:00;TRANSPOLE:ItemId::839748:LOC;CTRE COMMERCIAL/FOCH/2021-03-08T19:14:38.000+01:00
TRANSPOLE:StopPointRef:BP:709:LOC;FOCH;CO3;CTRE COMMERCIAL;2021-03-08T19:15:35+01:00;2021-03-08T19:08:23+01:00;TRANSPOLE:ItemId::829650:LOC;CTRE COMMERCIAL/FOCH/2021-03-08T19:15:35.000+01:00
TRANSPOLE:StopPointRef:BP:596:LOC;FOCH;L1;CTRE COMMERCIAL;2021-03-08T19:34:25+01:00;2021-03-08T19:23:08+01:00;TRANSPOLE:ItemId::839428:LOC;CTRE COMMERCIAL/FOCH/2021-03-08T19:34:25.000+01:00
TRANSPOLE:StopPointRef:BP:709:LOC;FOCH;CO3;CTRE COMMERCIAL;2021-03-08T19:40:25+01:00;2021-03-08T19:31:23+01:00;TRANSPOLE:ItemId::829999:LOC;CTRE COMMERCIAL/FOCH/2021-03-08T19:40:25.000+01:00
TRANSPOLE:StopPointRef:BP:709:LOC;FOCH;CO3;CTRE COMMERCIAL;2021-03-08T20:10:43+01:00;2021-03-08T19:43:38+01:00;TRANSPOLE:ItemId::831697:LOC;CTRE COMMERCIAL/FOCH/2021-03-08T20:10:43.000+01:00
TRANSPOLE:StopPointRef:BP:7240:LOC;FOSSE AUX CHENES;L4;CTRE COMMERCIAL;2021-03-08T18:53:37+01:00;2021-03-08T18:40:52+01:00;TRANSPOLE:ItemId::853541:LOC;CTRE COMMERCIAL/FOSSE AUX CHENES/2021-03-08T18:53:37.000+01:00
TRANSPOLE:StopPointRef:BP:7240:LOC;FOSSE AUX CHENES;L4;CTRE COMMERCIAL;2021-03-08T19:04:59+01:00;2021-03-08T18:54:09+01:00;TRANSPOLE:ItemId::856472:LOC;CTRE COMMERCIAL/FOSSE AUX CHENES/2021-03-08T19:04:59.000+01:00
TRANSPOLE:StopPointRef:BP:7240:LOC;FOSSE AUX CHENES;L4;CTRE COMMERCIAL;2021-03-08T19:15:33+01:00;2021-03-08T19:10:43+01:00;TRANSPOLE:ItemId::857255:LOC;CTRE COMMERCIAL/FOSSE AUX CHENES/2021-03-08T19:15:33.000+01:00
TRANSPOLE:StopPointRef:BP:869:LOC;FOUCAULT;CO3;CTRE COMMERCIAL;2021-03-08T18:59:21+01:00;2021-03-08T18:57:24+01:00;TRANSPOLE:ItemId::831531:LOC;CTRE COMMERCIAL/FOUCAULT/2021-03-08T18:59:21.000+01:00
TRANSPOLE:StopPointRef:BP:869:LOC;FOUCAULT;CO3;CTRE COMMERCIAL;2021-03-08T19:29:36+01:00;2021-03-08T19:07:23+01:00;TRANSPOLE:ItemId::829660:LOC;CTRE COMMERCIAL/FOUCAULT/2021-03-08T19:29:36.000+01:00
TRANSPOLE:StopPointRef:BP:869:LOC;FOUCAULT;CO3;CTRE COMMERCIAL;2021-03-08T19:51:46+01:00;2021-03-08T19:44:08+01:00;TRANSPOLE:ItemId::830009:LOC;CTRE COMMERCIAL/FOUCAULT/2021-03-08T19:51:46.000+01:00
TRANSPOLE:StopPointRef:BP:4226:LOC;GALON D'EAU;L4;CTRE COMMERCIAL;2021-03-08T18:56:38+01:00;2021-03-08T18:50:08+01:00;TRANSPOLE:ItemId::860563:LOC;CTRE COMMERCIAL/GALON D'EAU/2021-03-08T18:56:38.000+01:00
TRANSPOLE:StopPointRef:BP:4226:LOC;GALON D'EAU;L4;CTRE COMMERCIAL;2021-03-08T19:07:33+01:00;2021-03-08T18:50:47+01:00;TRANSPOLE:ItemId::853548:LOC;CTRE COMMERCIAL/GALON D'EAU/2021-03-08T19:07:33.000+01:00
TRANSPOLE:StopPointRef:BP:4226:LOC;GALON D'EAU;L4;CTRE COMMERCIAL;2021-03-08T19:16:06+01:00;2021-03-08T19:08:09+01:00;TRANSPOLE:ItemId::856479:LOC;CTRE COMMERCIAL/GALON D'EAU/2021-03-08T19:16:06.000+01:00
TRANSPOLE:StopPointRef:BP:1641:LOC;GARE;CO3;CTRE COMMERCIAL;2021-03-08T19:05:44+01:00;2021-03-08T18:49:23+01:00;TRANSPOLE:ItemId::829643:LOC;CTRE COMMERCIAL/GARE/2021-03-08T19:05:44.000+01:00
TRANSPOLE:StopPointRef:BP:1641:LOC;GARE;CO3;CTRE COMMERCIAL;2021-03-08T19:31:04+01:00;2021-03-08T19:22:23+01:00;TRANSPOLE:ItemId::829992:LOC;CTRE COMMERCIAL/GARE/2021-03-08T19:31:04.000+01:00
TRANSPOLE:StopPointRef:BP:1641:LOC;GARE;CO3;CTRE COMMERCIAL;2021-03-08T20:02:32+01:00;2021-03-08T19:47:38+01:00;TRANSPOLE:ItemId::831690:LOC;CTRE COMMERCIAL/GARE/2021-03-08T20:02:32.000+01:00
TRANSPOLE:StopPointRef:BP:5718:LOC;GASTON BERGER;L1;CTRE COMMERCIAL;2021-03-08T18:53:31+01:00;2021-03-08T18:52:38+01:00;TRANSPOLE:ItemId::837892:LOC;CTRE COMMERCIAL/GASTON BERGER/2021-03-08T18:53:31.000+01:00
TRANSPOLE:StopPointRef:BP:5718:LOC;GASTON BERGER;L1;CTRE COMMERCIAL;2021-03-08T19:02:46+01:00;2021-03-08T18:53:08+01:00;TRANSPOLE:ItemId::839625:LOC;CTRE COMMERCIAL/GASTON BERGER/2021-03-08T19:02:46.000+01:00
TRANSPOLE:StopPointRef:BP:5718:LOC;GASTON BERGER;L1;CTRE COMMERCIAL;2021-03-08T19:14:45+01:00;2021-03-08T19:08:53+01:00;TRANSPOLE:ItemId::836758:LOC;CTRE COMMERCIAL/GASTON BERGER/2021-03-08T19:14:45.000+01:00
TRANSPOLE:StopPointRef:BP:3813:LOC;GHESQUIERE;L1;CTRE COMMERCIAL;2021-03-08T19:02:56+01:00;2021-03-08T17:51:23+01:00;TRANSPOLE:ItemId::839737:LOC;CTRE COMMERCIAL/GHESQUIERE/2021-03-08T19:02:56.000+01:00
TRANSPOLE:StopPointRef:BP:3813:LOC;GHESQUIERE;L1;CTRE COMMERCIAL;2021-03-08T19:17:56+01:00;2021-03-08T18:06:39+01:00;TRANSPOLE:ItemId::839417:LOC;CTRE COMMERCIAL/GHESQUIERE/2021-03-08T19:17:56.000+01:00
TRANSPOLE:StopPointRef:BP:3813:LOC;GHESQUIERE;L1;CTRE COMMERCIAL;2021-03-08T19:39:40+01:00;2021-03-08T19:38:09+01:00;TRANSPOLE:ItemId::835358:LOC;CTRE COMMERCIAL/GHESQUIERE/2021-03-08T19:39:40.000+01:00
TRANSPOLE:StopPointRef:BP:4922:LOC;GOUNOD;L1;CTRE COMMERCIAL;2021-03-08T18:58:44+01:00;2021-03-08T18:40:23+01:00;TRANSPOLE:ItemId::834794:LOC;CTRE COMMERCIAL/GOUNOD/2021-03-08T18:58:44.000+01:00
TRANSPOLE:StopPointRef:BP:4922:LOC;GOUNOD;L1;CTRE COMMERCIAL;2021-03-08T19:10:57+01:00;2021-03-08T18:54:00+01:00;TRANSPOLE:ItemId::837903:LOC;CTRE COMMERCIAL/GOUNOD/2021-03-08T19:10:57.000+01:00
TRANSPOLE:StopPointRef:BP:4922:LOC;GOUNOD;L1;CTRE COMMERCIAL;2021-03-08T19:19:46+01:00;2021-03-08T19:09:38+01:00;TRANSPOLE:ItemId::839636:LOC;CTRE COMMERCIAL/GOUNOD/2021-03-08T19:19:46.000+01:00
TRANSPOLE:StopPointRef:BP:3036:LOC;GUESDE;L7;CTRE COMMERCIAL;2021-03-08T18:52:59+01:00;2021-03-08T17:35:09+01:00;TRANSPOLE:ItemId::873808:LOC;CTRE COMMERCIAL/GUESDE/2021-03-08T18:52:59.000+01:00
TRANSPOLE:StopPointRef:BP:3036:LOC;GUESDE;L7;CTRE COMMERCIAL;2021-03-08T19:05:03+01:00;2021-03-08T18:57:24+01:00;TRANSPOLE:ItemId::871394:LOC;CTRE COMMERCIAL/GUESDE/2021-03-08T19:05:03.000+01:00
TRANSPOLE:StopPointRef:BP:3036:LOC;GUESDE;L7;CTRE COMMERCIAL;2021-03-08T19:11:59+01:00;2021-03-08T18:55:38+01:00;TRANSPOLE:ItemId::871974:LOC;CTRE COMMERCIAL/GUESDE/2021-03-08T19:11:59.000+01:00
TRANSPOLE:StopPointRef:BP:4222:LOC;GUINGUETTE;L4;CTRE COMMERCIAL;2021-03-08T19:02:31+01:00;2021-03-08T18:55:23+01:00;TRANSPOLE:ItemId::856470:LOC;CTRE COMMERCIAL/GUINGUETTE/2021-03-08T19:02:31.000+01:00
TRANSPOLE:StopPointRef:BP:4222:LOC;GUINGUETTE;L4;CTRE COMMERCIAL;2021-03-08T19:15:38+01:00;2021-03-08T19:13:23+01:00;TRANSPOLE:ItemId::857253:LOC;CTRE COMMERCIAL/GUINGUETTE/2021-03-08T19:15:38.000+01:00
TRANSPOLE:StopPointRef:BP:4222:LOC;GUINGUETTE;L4;CTRE COMMERCIAL;2021-03-08T19:26:26+01:00;2021-03-08T19:09:23+01:00;TRANSPOLE:ItemId::860014:LOC;CTRE COMMERCIAL/GUINGUETTE/2021-03-08T19:26:26.000+01:00
TRANSPOLE:StopPointRef:BP:7930:LOC;HALEY;66;CTRE COMMERCIAL;2021-03-08T18:59:30+01:00;2021-03-08T18:08:09+01:00;TRANSPOLE:ItemId::777072:LOC;CTRE COMMERCIAL/HALEY/2021-03-08T18:59:30.000+01:00
TRANSPOLE:StopPointRef:BP:7930:LOC;HALEY;66;CTRE COMMERCIAL;2021-03-08T19:40:46+01:00;2021-03-08T19:37:23+01:00;TRANSPOLE:ItemId::777463:LOC;CTRE COMMERCIAL/HALEY/2021-03-08T19:40:46.000+01:00
TRANSPOLE:StopPointRef:BP:7930:LOC;HALEY;66;CTRE COMMERCIAL;2021-03-08T20:49:00+01:00;2021-03-08T03:20:05+01:00;TRANSPOLE:ItemId::778121:LOC;CTRE COMMERCIAL/HALEY/2021-03-08T20:49:00.000+01:00
TRANSPOLE:StopPointRef:BP:4109:LOC;HALLUIN GOUNOD;L4;CTRE COMMERCIAL;2021-03-08T19:00:00+01:00;2021-03-08T18:52:23+01:00;TRANSPOLE:ItemId::854668:LOC;CTRE COMMERCIAL/HALLUIN GOUNOD/2021-03-08T19:00:00.000+01:00
TRANSPOLE:StopPointRef:BP:4109:LOC;HALLUIN GOUNOD;L4;CTRE COMMERCIAL;2021-03-08T19:15:00+01:00;2021-03-08T19:00:08+01:00;TRANSPOLE:ItemId::858997:LOC;CTRE COMMERCIAL/HALLUIN GOUNOD/2021-03-08T19:15:00.000+01:00
